Search_Type,Layer_Structure,Hyperparameters,Train_Loss,Train_Accuracy,Val_Loss,Val_Accuracy,Test_Loss,Test_Accuracy
Grid,"(64, 32)","{'activation': 'swish', 'optimizer': 'adam', 'batch_size': 128, 'dropout': 0.0, 'regularizer': 'l2', 'reg_value': 0.001}",0.16664792597293854,0.9781000018119812,0.19194883108139038,0.9718000292778015,0.18644848465919495,0.9714999794960022
Grid,"(64, 32)","{'activation': 'swish', 'optimizer': 'adam', 'batch_size': 128, 'dropout': 0.2, 'regularizer': 'l2', 'reg_value': 0.001}",0.1769382804632187,0.9769600033760071,0.1884627640247345,0.9725000262260437,0.1919015645980835,0.9710000157356262
Grid,"(64, 32)","{'activation': 'swish', 'optimizer': 'adam', 'batch_size': 128, 'dropout': 0.5, 'regularizer': 'l2', 'reg_value': 0.001}",0.24870683252811432,0.9574199914932251,0.2488928884267807,0.9602000117301941,0.25623470544815063,0.9559000134468079
Grid,"(64, 32)","{'activation': 'relu', 'optimizer': 'adam', 'batch_size': 64, 'dropout': 0.0, 'regularizer': 'l2', 'reg_value': 0.01}",0.2955498695373535,0.9596199989318848,0.2939819395542145,0.9613000154495239,0.3011084198951721,0.9562000036239624
Grid,"(64, 32)","{'activation': 'relu', 'optimizer': 'adam', 'batch_size': 64, 'dropout': 0.2, 'regularizer': 'l2', 'reg_value': 0.01}",0.33578693866729736,0.9522799849510193,0.3267477750778198,0.9555000066757202,0.33548375964164734,0.9514999985694885
Grid,"(64, 32)","{'activation': 'relu', 'optimizer': 'adam', 'batch_size': 64, 'dropout': 0.5, 'regularizer': 'l2', 'reg_value': 0.01}",0.43034422397613525,0.9321600198745728,0.4153960049152374,0.9373999834060669,0.4254244267940521,0.9325000047683716
Grid,"(64, 32)","{'activation': 'relu', 'optimizer': 'adam', 'batch_size': 128, 'dropout': 0.0, 'regularizer': 'l2', 'reg_value': 0.01}",0.30991894006729126,0.9567599892616272,0.30676132440567017,0.960099995136261,0.31254246830940247,0.9550999999046326
Grid,"(64, 32)","{'activation': 'relu', 'optimizer': 'adam', 'batch_size': 128, 'dropout': 0.2, 'regularizer': 'l2', 'reg_value': 0.01}",0.31661221385002136,0.9581199884414673,0.3092619776725769,0.9623000025749207,0.31556883454322815,0.9553999900817871
Grid,"(64, 32)","{'activation': 'relu', 'optimizer': 'adam', 'batch_size': 128, 'dropout': 0.5, 'regularizer': 'l2', 'reg_value': 0.01}",0.42826440930366516,0.936020016670227,0.41545453667640686,0.9430000185966492,0.4220646619796753,0.9355000257492065
Grid,"(64, 32)","{'activation': 'swish', 'optimizer': 'adam', 'batch_size': 64, 'dropout': 0.0, 'regularizer': 'l2', 'reg_value': 0.01}",0.4027661383152008,0.9287199974060059,0.3911069929599762,0.9358999729156494,0.40070486068725586,0.929099977016449
Grid,"(64, 32)","{'activation': 'swish', 'optimizer': 'adam', 'batch_size': 64, 'dropout': 0.2, 'regularizer': 'l2', 'reg_value': 0.01}",0.4228610694408417,0.9362000226974487,0.4034031927585602,0.9438999891281128,0.41285738348960876,0.9373000264167786
Grid,"(64, 32)","{'activation': 'swish', 'optimizer': 'adam', 'batch_size': 64, 'dropout': 0.5, 'regularizer': 'l2', 'reg_value': 0.01}",0.5101820826530457,0.9157000184059143,0.4864421486854553,0.9218000173568726,0.4996784031391144,0.9164000153541565
Grid,"(64, 32)","{'activation': 'swish', 'optimizer': 'adam', 'batch_size': 128, 'dropout': 0.0, 'regularizer': 'l2', 'reg_value': 0.01}",0.4129200875759125,0.9313200116157532,0.40138131380081177,0.9354000091552734,0.4005986750125885,0.932200014591217
Grid,"(64, 32)","{'activation': 'swish', 'optimizer': 'adam', 'batch_size': 128, 'dropout': 0.2, 'regularizer': 'l2', 'reg_value': 0.01}",0.44597524404525757,0.9334800243377686,0.4248947203159332,0.9415000081062317,0.43317675590515137,0.9379000067710876
Grid,"(64, 32)","{'activation': 'swish', 'optimizer': 'adam', 'batch_size': 128, 'dropout': 0.5, 'regularizer': 'l2', 'reg_value': 0.01}",0.5159965753555298,0.9147199988365173,0.49072036147117615,0.9222000241279602,0.5010960698127747,0.9175000190734863
Grid,"(128, 64)","{'activation': 'relu', 'optimizer': 'adam', 'batch_size': 64, 'dropout': 0.0, 'regularizer': 'l2', 'reg_value': 0.0}",0.04057888686656952,0.9875800013542175,0.09329161792993546,0.9735000133514404,0.08879867941141129,0.9733999967575073
Grid,"(128, 64)","{'activation': 'relu', 'optimizer': 'adam', 'batch_size': 64, 'dropout': 0.2, 'regularizer': 'l2', 'reg_value': 0.0}",0.026860559359192848,0.9919599890708923,0.07733377069234848,0.9769999980926514,0.07063799351453781,0.9783999919891357
Grid,"(128, 64)","{'activation': 'relu', 'optimizer': 'adam', 'batch_size': 64, 'dropout': 0.5, 'regularizer': 'l2', 'reg_value': 0.0}",0.041653797030448914,0.9872199892997742,0.08779527246952057,0.9758999943733215,0.08943492919206619,0.9753999710083008
Grid,"(128, 64)","{'activation': 'relu', 'optimizer': 'adam', 'batch_size': 128, 'dropout': 0.0, 'regularizer': 'l2', 'reg_value': 0.0}",0.018951594829559326,0.9947599768638611,0.08819998800754547,0.9764999747276306,0.08698787540197372,0.9761999845504761
Grid,"(128, 64)","{'activation': 'relu', 'optimizer': 'adam', 'batch_size': 128, 'dropout': 0.2, 'regularizer': 'l2', 'reg_value': 0.0}",0.01923024095594883,0.9949399828910828,0.07120095938444138,0.9789999723434448,0.0681624636054039,0.9810000061988831
